trade_date_id,create_order_date,buy_ticket,sell_ticket,account_balance,account_equity,account_margin,current_market_price,buy_volume,sell_volume,buy_at,sell_at,first_buy_at,first_sell_at,buy_status,sell_status,fib_number,next_fib_number,next_volume,next_buy_at,next_sell_at,market_direction,close_all_order_type,max_buy_direction_price,max_sell_direction_price,close_all_when_market_reverse_price_at,is_first_order_of_sequence
151123012212,2023-11-15 01:22:12.308698,524131116,524131128,6132.34,6132.33,1248.94,1.08706,0.01,0.01,1.08706,1.08706,1.08706,1.08706,close,close,1,1.0,0.01,1.08906,1.08506,,,1.08706,1.08706,,True
151123223215,2023-11-15 22:32:15.956513,524938357,524938371,6150.92,6130.71,2171.47,1.08423,0.01,0.01,1.08421,1.08422,1.08706,1.08706,close,close,1,2.0,0.02,1.08621,1.08222,sell,buy,1.08421,1.08422,1.085072,False
151123225242,2023-11-15 22:52:42.095338,524969284,524969294,6145.58,6127.53,4416.88,1.0859,0.01,0.01,1.08589,1.08586,1.08589,1.08586,close,close,1,1.0,0.01,1.08789,1.08386,,,1.08589,1.08586,,True
161123094153,2023-11-16 09:41:53.196351,525353919,525353923,6127.5,6124.73,1085.89,1.08349,0.01,0.01,1.08349,1.08349,1.08706,1.08706,close,close,1,2.0,0.02,1.08549,1.08149,sell,buy,1.08349,1.08318,1.0821324,False
161123223159,2023-11-16 22:31:59.606531,525915656,525915664,6125.14,6122.05,1000.0,1.08938,0.01,0.01,1.08938,1.08938,1.08938,1.08938,close,close,1,1.0,0.01,1.09138,1.08738,,,1.08938,1.08938,,True
161123231703,2023-11-16 23:17:03.140213,525966713,525966731,6126.03,6121.96,2333.71,1.08716,0.01,0.01,1.08716,1.08716,1.08706,1.08706,close,close,1,2.0,0.02,1.08916,1.08516,sell,buy,1.08716,1.08565,1.0852693,False
171123094205,2023-11-17 09:42:05.705260,526259051,526259067,6124.92,6118.22,0.0,1.085,0.02,0.02,1.085,1.085,1.08706,1.08706,close,close,2,3.0,0.03,1.087,1.083,sell,buy,1.085,1.08496,1.084393,False
171123185920,2023-11-17 18:59:20.182439,526603857,526603860,6115.96,6115.49,0.0,1.0866,0.02,0.02,1.0866,1.0866,1.0866,1.0866,close,open,1,1.0,0.02,1.089,1.0842,,,1.0866,1.0866,,True
201123085317,2023-11-20 08:53:17.162641,527166125,527166127,6137.61,6114.9,4173.2,1.09084,0.02,0.02,1.09084,1.09084,1.08706,1.08706,close,open,1,2.0,0.04,1.09324,1.08844,buy,sell,1.09298,1.09084,1.0913816,False
