trade_date_id,create_order_date,buy_ticket,sell_ticket,account_balance,account_equity,account_margin,current_market_price,buy_volume,sell_volume,buy_at,sell_at,first_buy_at,first_sell_at,buy_status,sell_status,fib_number,next_fib_number,next_volume,next_buy_at,next_sell_at,market_direction,close_all_order_type,max_buy_direction_price,max_sell_direction_price,close_all_when_market_reverse_price_at,is_first_order_of_sequence
151123012207,2023-11-15 01:22:07.385404,524131088,524131095,6132.46,6132.46,0.0,0.87038,0.01,0.01,0.87038,0.87038,0.87038,0.87038,close,close,1,1.0,0.01,0.87238,0.86838,,,0.87038,0.87038,,True
151123223146,2023-11-15 22:31:46.141284,524937711,524937735,6138.94,6131.19,2174.37,0.87309,0.01,0.01,0.87309,0.87309,0.87038,0.87038,close,close,1,2.0,0.02,0.87509,0.87109,buy,sell,0.87334,0.87309,0.8725408,False
161123092654,2023-11-16 09:26:54.252512,525345891,525345900,6125.41,6125.23,0.0,0.87427,0.01,0.01,0.87428,0.87428,0.87428,0.87428,close,close,1,1.0,0.01,0.87628,0.8722799999999999,,,0.87428,0.87428,,True
171123185918,2023-11-17 18:59:18.861445,526603851,526603855,6116.18,6115.71,0.0,0.87427,0.03,0.03,0.87427,0.87427,0.87427,0.87427,open,close,1,1.0,0.03,0.87737,0.87117,,,0.87427,0.87427,,True
