trade_date_id,create_order_date,buy_ticket,sell_ticket,account_balance,account_equity,account_margin,current_market_price,buy_volume,sell_volume,buy_at,sell_at,first_buy_at,first_sell_at,buy_status,sell_status,fib_number,next_fib_number,next_volume,next_buy_at,next_sell_at,market_direction,close_all_order_type,max_buy_direction_price,max_sell_direction_price,close_all_when_market_reverse_price_at,is_first_order_of_sequence
151123012212,2023-11-15 01:22:12.324289,524131101,524131122,6132.38,6132.37,0.0,0.88991,0.01,0.01,0.88991,0.8899,0.88991,0.8899,close,close,1,1.0,0.01,0.89191,0.8879,,,0.88991,0.8899,,True
151123224854,2023-11-15 22:48:54.869765,524962455,524962475,6153.4,6129.22,4171.47,0.88756,0.01,0.01,0.88754,0.88739,0.88991,0.8899,close,close,1,2.0,0.02,0.88954,0.88539,sell,buy,0.88754,0.88686,0.8860391999999999,False
151123225553,2023-11-15 22:55:53.833720,524974232,524974313,6135.64,6126.67,2331.08,0.88645,0.01,0.01,0.88645,0.88644,0.88645,0.88644,close,close,1,1.0,0.01,0.88845,0.88444,,,0.88645,0.88644,,True
161123014058,2023-11-16 01:40:58.210369,525148029,525148034,6131.07,6128.55,1000.0,0.88855,0.01,0.01,0.88855,0.88854,0.88991,0.8899,close,close,1,2.0,0.02,0.89055,0.88654,buy,sell,0.88855,0.88854,0.8889579999999999,False
161123092655,2023-11-16 09:26:55.382809,525345904,525345906,6125.17,6124.91,0.0,0.88832,0.01,0.01,0.88832,0.88831,0.88832,0.88831,close,close,1,1.0,0.01,0.89032,0.88631,,,0.88832,0.88831,,True
161123221158,2023-11-16 22:11:58.902452,525891385,525891391,6125.3,6122.96,1000.0,0.88625,0.01,0.01,0.88626,0.88622,0.88991,0.8899,close,close,1,2.0,0.02,0.88826,0.88422,sell,buy,0.88626,0.8857,0.8845660000000001,False
171123094204,2023-11-17 09:42:04.331779,526258998,526259035,6125.0,6118.33,0.0,0.88912,0.01,0.01,0.88912,0.8891,0.88912,0.8891,close,close,1,1.0,0.01,0.89112,0.8871,,,0.88912,0.8891,,True
171123174207,2023-11-17 17:42:07.345307,526554256,526554257,6121.64,6116.59,2000.0,0.88681,0.01,0.01,0.88681,0.88681,0.88991,0.8899,close,close,1,2.0,0.02,0.88881,0.88481,sell,buy,0.88681,0.88672,0.8858613999999999,False
171123185914,2023-11-17 18:59:14.888154,526603808,526603812,6116.68,6116.68,0.0,0.8876,0.02,0.02,0.88757,0.88755,0.88757,0.88755,close,close,1,1.0,0.02,0.88957,0.88555,,,0.88757,0.88755,,True
201123081914,2023-11-20 08:19:14.793607,527153428,527153431,6122.01,6116.03,2000.0,0.88517,0.02,0.02,0.88517,0.8851,0.88991,0.8899,close,close,1,2.0,0.04,0.88717,0.8831,sell,buy,0.88517,0.88507,0.8837659,False
201123090735,2023-11-20 09:07:35.155241,527171431,527171433,6122.58,6113.57,4177.44,0.8849,0.02,0.02,0.8849,0.88489,0.8849,0.88489,close,close,1,1.0,0.02,0.8869,0.88289,,,0.8849,0.88489,,True
211123111830,2023-11-21 11:18:30.400048,528089871,528089872,6130.3,6110.69,0.0,0.88283,0.02,0.02,0.88283,0.88279,0.88991,0.8899,close,close,1,2.0,0.04,0.88483,0.88079,sell,buy,0.88283,0.88266,0.8807052,False
